nombre;url;municipio;telefonos;direccion;codigopostal;detallesObtenidos;fax;email;latitud;longitud;provincia;juez
Sección Civil y de Instrucción del Tribunal de Instancia nº 1;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Seccion-Civil-y-de-Instruccion-del-Tribunal-de-Instancia-n--1---Arzua?provincia=15;Arzúa;881 99 60 03881 99 60 04;Rúa de Lugo, 45-47;15810;True;881 99 60 07;mixto1.arzua@xustiza.gal;42.92744;-8.160368;A Coruña;RODRIGUEZ CARLIN, MARIA EUGENIA
Sección Civil y de Instrucción del Tribunal de Instancia nº 1;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Seccion-Civil-y-de-Instruccion-del-Tribunal-de-Instancia-n--1---Betanzos?provincia=15;Betanzos;881 88 14 04881 88 14 05;Praza Irmáns García Naveira, s/n;15300;True;881 88 14 08;mixto1.betanzos@xustiza.gal;43.269627;-8.226767;A Coruña;CORRAL MONTES, MARIA DE LAS NIEVES
Sección Civil y de Instrucción del Tribunal de Instancia nº 2;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Seccion-Civil-y-de-Instruccion-del-Tribunal-de-Instancia-n--2---Betanzos?provincia=15;Betanzos;881 88 14 13881 88 14 14;Praza Irmáns García Naveira, s/n;15300;True;881 88 14 18;mixto2.betanzos@xustiza.gal;43.269627;-8.226767;A Coruña;RODRIGUEZ VAZQUEZ, BEATRIZ
Sección Civil y de Instrucción del Tribunal de Instancia nº 3;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Seccion-Civil-y-de-Instruccion-del-Tribunal-de-Instancia-n--3---Betanzos?provincia=15;Betanzos;881 88 14 26881 88 14 27;Praza Irmáns García Naveira, s/n;15300;True;881 88 14 29;mixto3.betanzos@xustiza.gal;43.269627;-8.226767;A Coruña;REY SALGUEIRO, SONIA
Sección Civil y de Instrucción del Tribunal de Instancia nº 4;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Seccion-Civil-y-de-Instruccion-del-Tribunal-de-Instancia-n--4---Betanzos?provincia=15;Betanzos;881 88 14 40881 88 14 39;Praza Irmáns García Naveira, s/n;15300;True;881 88 14 41;mixto4.betanzos@xustiza.gal;43.269627;-8.226767;A Coruña;ZARZALEJOS HERRERO, ALFONSO
Sección Civil y de Instrucción del Tribunal de Instancia nº 1;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Seccion-Civil-y-de-Instruccion-del-Tribunal-de-Instancia-n--1---Carballo?provincia=15;Carballo;881 88 11 85881 88 11 86;C/ Río Grande, s/n;15100;True;881 88 11 87;mixto1.carballo@xustiza.gal;43.20741;-8.693504;A Coruña;CERNADAS LADO, ANDREA
Sección Civil y de Instrucción del Tribunal de Instancia nº 2;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Seccion-Civil-y-de-Instruccion-del-Tribunal-de-Instancia-n--2---Carballo?provincia=15;Carballo;881 88 11 90881 88 11 91;C/ Río Grande, s/n;15100;True;881 88 11 92;mixto2.carballo@xustiza.gal;43.20741;-8.693504;A Coruña;GUIZAN ROCA, MARTA
Sección Civil y de Instrucción del Tribunal de Instancia nº 3;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Seccion-Civil-y-de-Instruccion-del-Tribunal-de-Instancia-n--3---Carballo?provincia=15;Carballo;881 88 11 95881 88 11 96;C/ Río Grande, s/n;15100;True;881 88 11 97;mixto3.carballo@xustiza.gal;43.20741;-8.693504;A Coruña;MOSQUERA BLANCO, AUGUSTO JAVIER
Sección Civil y de Instrucción del Tribunal de Instancia nº 1;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Seccion-Civil-y-de-Instruccion-del-Tribunal-de-Instancia-n--1---Corcubion?provincia=15;Corcubión;881 88 14 47881 88 14 45;Avda. da Viña, s/n;15130;True;881 88 14 51;mixto1.corcubion@xustiza.gal;42.94349;-9.191127;A Coruña;FERNANDEZ MENENDEZ, BELEN
Sección Civil y de Instrucción del Tribunal de Instancia nº 2;https://www.poderjudicial.es/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Seccion-Civil-y-de-Instruccion-del-Tribunal-de-Instancia-n--2---Corcubion?provincia=15;Corcubión;881 88 14 56881 88 14 54;Avda. da Viña, s/n;15130;True;881 88 14 58;mixto2.corcubion@xustiza.gal;42.94349;-9.191127;A Coruña;PRIETO GONZALEZ, ROCIO
